Computer Time,jointAngle1,jointAngle2
65650,-1.0345387354605142,1.595719607108665,1
66148,-1.037127298716524,1.4705879919743294,1
66567,-0.8734217979599999,1.401540850296727,1
66611,-0.985293599607335,1.4041098384827566,1
66931,-0.9715462864324776,1.3809949048292847,1
67233,-1.0904483135471628,1.5594802977045341,1
67481,-0.967834544227894,1.4559546599475768,1
67920,-0.8699598887408682,1.3618068403441306,1
68462,-0.7811446111822646,1.413801521222645,1
69041,-0.8350143812795393,1.2676034568827812,1
69588,-0.7360295097647319,1.3555591277964483,1
70441,-0.5745002259770267,1.3133928918426396,1
70590,-0.7279753371450559,1.1964985644745134,1
70790,-0.7137566723727183,1.2360388921291916,1
71584,-0.7845687556440808,1.284483450411762,1
72492,-0.6637178740209264,1.4383093366904895,1
72715,-0.8476807980105145,1.3365666170118187,1
72895,-0.8354024593973555,1.2294460041906243,1
73186,-0.8817616403516806,1.3425900940867397,1
73237,-0.7726473758701138,1.153404045244398,1
73526,-0.7955461656229463,1.1804389283718353,1
74264,-0.7443314498843011,1.2145442888895346,1
74641,-0.6662129326108428,1.4095387908032462,1
75391,-0.8207153000666353,1.5882824451531814,1
75643,-1.0084958708489768,1.542747065816451,1
